name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus
Cactus Fruit,,,,,"Cactus Fruit is a marijuana strain. We’re still learning about the flavors and effects of Cactus Fruit. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Granny Skunk,,Hybrid,27%,Terpinolene,"Granny Skunk is a hybrid marijuana strain. We're still learning about the flavors and effects of Granny Skunk - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Grey Area,,Hybrid,,,"Grey Area is a hybrid marijuana strain. We're still learning about the flavors and effects of Grey Area - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Gorilla Balls,,Hybrid,,,"Gorilla Balls is a hybrid marijuana strain. We're still learning about the flavors and effects of Gorilla Balls - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Ole Berry Red,,Hybrid,,,"Ole Berry Red is a hybrid marijuana strain. We're still learning about the flavors and effects of Ole Berry Red - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Hammer Time,,Hybrid,,,"Hammer Time is a hybrid marijuana strain. We're still learning about the flavors and effects of Hammer Time - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Funky Cold Medina,,Hybrid,,,"Funky Cold Medina is a hybrid marijuana strain. We're still learning about the flavors and effects of Funky Cold Medina - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Jose Whales,,Hybrid,,,"Jose Whales is a hybrid marijuana strain. We're still learning about the flavors and effects of Jose Whales - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Jilly OG,,,15%,Myrcene,"Jilly OG is a marijuana strain. We’re still learning about the flavors and effects of Jilly OG. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Melonata,,,,,"Melonata is a marijuana strain. We’re still learning about the flavors and effects of Melonata. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NYC Chem,,,18%,Limonene,"NYC Chem is a marijuana strain. We’re still learning about the flavors and effects of NYC Chem. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Push Pop,,,,,"Push Pop is a marijuana strain. We’re still learning about the flavors and effects of Push Pop. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Purp5,,Hybrid,16%,Myrcene,"Purp5 is a hybrid marijuana strain. We're still learning about the flavors and effects of Purp5 - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Psycho Dawg,,,19%,Myrcene,"Psycho Dawg is a marijuana strain. We’re still learning about the flavors and effects of Psycho Dawg. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Punch Mints,,,,,"Punch Mints is a marijuana strain. We’re still learning about the flavors and effects of Punch Mints. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Purple Yoda,,,17%,Myrcene,"Purple Yoda is a marijuana strain. We’re still learning about the flavors and effects of Purple Yoda. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Rockstar OG,,,17%,Myrcene,"Rockstar OG is a marijuana strain. We’re still learning about the flavors and effects of Rockstar OG. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Royal AC/DC,,,,,"Royal AC/DC is a marijuana strain. We’re still learning about the flavors and effects of Royal AC/DC. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Saturn Kush,,,,,"Saturn Kush is a marijuana strain. We’re still learning about the flavors and effects of Saturn Kush. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sour Gelato,,,,,"Sour Gelato is a marijuana strain. We’re still learning about the flavors and effects of Sour Gelato. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sour Walker,,,7%,Pinene,"Sour Walker is a marijuana strain. We’re still learning about the flavors and effects of Sour Walker. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sticky Snax,,,,,"Sticky Snax is a marijuana strain. We’re still learning about the flavors and effects of Sticky Snax. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sugar Candy,,,15%,Limonene,"Sugar Candy is a marijuana strain. We’re still learning about the flavors and effects of Sugar Candy. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sunset Blue,,,,,"Sunset Blue is a marijuana strain. We’re still learning about the flavors and effects of Sunset Blue. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sweet Thang,,,18%,Myrcene,"Sweet Thang is a marijuana strain. We’re still learning about the flavors and effects of Sweet Thang. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tahiti Lime,,,18%,Myrcene,"Tahiti Lime is a marijuana strain. We’re still learning about the flavors and effects of Tahiti Lime. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tang Breath,,,19%,Limonene,"Tang Breath is a marijuana strain. We’re still learning about the flavors and effects of Tang Breath. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tangie Land,,,20%,Myrcene,"Tangie Land is a marijuana strain. We’re still learning about the flavors and effects of Tangie Land. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tiger Punch,,,,,"Tiger Punch is a marijuana strain. We’re still learning about the flavors and effects of Tiger Punch. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Timber Kush,,,20%,,"Timber Kush is a marijuana strain. We’re still learning about the flavors and effects of Timber Kush. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Time Reaper,,,,,"Time Reaper is a marijuana strain. We’re still learning about the flavors and effects of Time Reaper. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tomb Raider,,,28%,Myrcene,"Tomb Raider is a marijuana strain. We’re still learning about the flavors and effects of Tomb Raider. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Triangelato,,,26%,Myrcene,"Triangelato is a marijuana strain. We’re still learning about the flavors and effects of Triangelato. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Unicorn Pie,,,26%,Myrcene,"Unicorn Pie is a marijuana strain. We’re still learning about the flavors and effects of Unicorn Pie. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
White Linen,,,21%,Myrcene,"White Linen is a marijuana strain. We’re still learning about the flavors and effects of White Linen. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wicked Glue,,,,,"Wicked Glue is a marijuana strain. We’re still learning about the flavors and effects of Wicked Glue. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wonka Mints,,,,,"Wonka Mints is a marijuana strain. We’re still learning about the flavors and effects of Wonka Mints. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wookie Girl,,,15%,Caryophyllene,"Wookie Girl is a marijuana strain. We’re still learning about the flavors and effects of Wookie Girl. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wubba Punch,,,17%,Caryophyllene,"Wubba Punch is a marijuana strain. We’re still learning about the flavors and effects of Wubba Punch. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Yuzu Purple,,,,,"Yuzu Purple is a marijuana strain. We’re still learning about the flavors and effects of Yuzu Purple. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Zkittlez OG,,,,,"Zkittlez OG is a marijuana strain. We’re still learning about the flavors and effects of Zkittlez OG. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Animal Candy,,,18%,Limonene,"Animal Candy is a marijuana strain. We’re still learning about the flavors and effects of Animal Candy. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Cat Lady,,Hybrid,15%,Terpinolene,"Cat Lady is a hybrid marijuana strain. We're still learning about the flavors and effects of Cat Lady - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Libido,,Hybrid,,,"Libido is a hybrid marijuana strain. We're still learning about the flavors and effects of Libido - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Purple Cowboy,,Hybrid,,,"Purple Cowboy is a hybrid marijuana strain. We're still learning about the flavors and effects of Purple Cowboy - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Big Red,,Hybrid,18%,Limonene,"Big Red is a hybrid marijuana strain. We're still learning about the flavors and effects of Big Red - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Teso Cherry,,Hybrid,8%,Terpinolene,"Teso Cherry is a hybrid marijuana strain. We're still learning about the flavors and effects of Teso Cherry - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TCB S1,,Hybrid,,,"TCB S1 is a hybrid marijuana strain. We're still learning about the flavors and effects of TCB S1 - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Berry Meow,,Hybrid,,,"Berry Meow is a hybrid marijuana strain. We're still learning about the flavors and effects of Berry Meow - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Berry Snow Cone,,Hybrid,,,"Berry Snow Cone is a hybrid marijuana strain. We're still learning about the flavors and effects of Berry Snow Cone - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Rosella,,Hybrid,17%,Terpinolene,"Rosella is a hybrid marijuana strain. We're still learning about the flavors and effects of Rosella - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
