name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Valley Girl,,Hybrid,23%,Caryophyllene,"From Archive Seed Bank comes Valley Girl, a balanced hybrid strain that descends from SFV OG and Face Off OG. Resin-packed buds mark this strain’s elevated THC potential, and consumers with a high tolerance may look to Valley Girl for new euphoric heights. ",46%,53%,42%,34%,0%,11%,0%,7%,0%,3%,42%,19%,34%,23%,0%,0%,0%,0%,0%,26%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.027,0.0,0.0,0.014,0.0,0.0,0.223,0.0,0.025,0.0,0.061,0.073,0.0,0.191,0.361,,0.112,0.661,0.0,0.0,,0.7,0.0,21.71,0.0,0.0,0.04,0.0,0.0,0.0,0.95,0.1,0.01,
Miss USA,,Hybrid,,,"Crossing the award-winning Kosher Kush and Strawberry Banana, Miss U.S.A. was bred by DNA genetics and has large yields, delicious flavors, and an exceptional high. Buds come in a light green color and are drenched in trichomes, making this strain popular for concentrates. Miss U.S.A. has an uplifting high that may take you giggling all the way to the stars. It’s perfect for folks new to cannabis or connoisseurs looking to rejoice in a fun, easygoing strain.",50%,50%,62%,50%,0%,50%,0%,12%,0%,0%,37%,0%,50%,37%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.011,0.007,0.0,0.0,0.0,0.0,0.0,0.031,0.004,0.052,0.079,0.082,0.0,0.272,0.381,,0.084,0.408,0.0,0.0,,0.46,0.0,20.95,0.0,0.0,0.03,0.0,0.0,0.0,0.38,0.09,0.0,
Alpha Blue,,Sativa,20%,Myrcene,"Alpha Blue, also known as Dream Diesel (or DD), is a high-flying sativa that combines Blue Dream and NYC Diesel. In 2011 this compelling blend claimed two 2nd place prizes for a sativa at the High Times’ Medical Cup in Denver and San Francisco. Its buds are glazed with sugary trichomes and take on hues of deep red and violet. The aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and Haze upon exhale. The sweet fragrance of Alpha Blue brings with it uplifting effects that produce a calming, relaxed mood without putting you to sleep. The cerebral and happy buzz is a great tool when coping with stress and anxiety.",43%,64%,47%,65%,0%,18%,12%,6%,4%,7%,35%,21%,34%,32%,0%,0%,0%,0%,0%,0%,57%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.077,0.111,4.207,0.0,0.385,1.746,,1.86,0.682,0.0,0.0,,80.58,0.0,0.0,0.47,0.5,0.0,0.18,0.0,0.0,0.0,1.77,1.02,
Chem Valley Kush,,Hybrid,18%,Myrcene,Chem Valley Kush is a sativa-leaning hybrid cross between Chemdawg and SFV OG Kush bred by Cali Connection.,52%,54%,49%,58%,0%,33%,13%,5%,5%,0%,39%,27%,31%,33%,0%,0%,39%,5%,0%,0%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.008,0.013,0.001,0.0,0.031,0.009,0.086,0.028,0.004,0.039,0.089,0.377,0.0,0.195,1.568,,0.188,0.149,0.0,0.0,,0.41,0.0,29.08,0.0,0.0,0.08,0.0,0.0,0.0,0.44,0.06,0.0,
OGiesel,,Hybrid,18%,Caryophyllene,"An inspirational cross between SFV OG Kush and Giesel, OGiesel is all smiles. While mild at first, a euphoric feeling creeps up steadily after initial use. While the slightly sativa dominant traits make this a happy, uplifting strain, OGiesel provides a truly hybrid experience. Its smiley effects are complemented by an easy feeling of bodily relaxation, making this strain perfect for an afternoon picnic or regular daytime use. The aroma of this hybrid is strong and piney with pleasant lemon undertones. OGiesel typically flowers in 8 weeks and features more indica-like growing characteristics. For best yields, this strain should be grown indoors.",35%,66%,60%,50%,0%,29%,12%,6%,4%,0%,45%,22%,27%,43%,18%,0%,0%,4%,0%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.006,0.004,0.0,0.0,0.058,0.0,0.06,0.0,0.008,0.0,0.112,0.025,0.0,0.301,0.25,,0.05,0.264,0.0,0.0,,0.53,0.0,19.88,0.0,0.0,0.05,0.0,0.0,0.0,0.14,0.06,0.0,
Ambrosia,,Hybrid,19%,Myrcene,"Stemming from her parents, God Bud and Burmese, the Ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. Her mother, Burmese is a sativa from the Mighty Mite Seed Company and was voted #1 People's Choice at the Cannabis Culture Toker's Bowl in 2002. For dad, God Bud from Jordan of the Islands, is a mostly indica plant, popular for it's tropical sweet flavor. Ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. ",44%,68%,50%,57%,0%,25%,12%,3%,0%,3%,50%,25%,29%,27%,0%,0%,0%,3%,0%,62%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.469,0.619,0.0,0.096,0.148,0.0,0.201,0.093,,0.105,0.138,0.0,0.0,,2.19,0.0,16.33,0.0,0.0,,0.0,0.0,0.0,4.31,0.16,0.01,
Master Bubba,,Indica,24%,Myrcene,"Master Bubba is the perfect strain for those looking for true indica effects. Bred from Master Kush and Bubba Kush, it’s popular for the treatment of pain, stress and insomnia thanks to the strong body sedation it provides. Master Bubba plants flower at 8 to 9 weeks with smaller, dense buds that can have a fruity, musky aroma. Kush earthiness is the main note in its smooth flavor. This strain can be very potent, making it best in the evening or as a nightcap.",56%,42%,45%,0%,51%,34%,27%,10%,3%,0%,48%,46%,20%,34%,39%,37%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.003,0.0,0.001,0.045,0.0,0.048,0.064,0.003,0.033,0.078,0.018,0.0,0.286,1.998,,0.046,0.203,0.0,0.0,,0.56,0.0,26.95,0.0,0.0,0.07,0.0,0.0,0.0,0.27,0.1,0.0,
Tangie Dream,,Hybrid,19%,Myrcene,"Tangie Dream is a sativa-dominant hybrid strain that reeks of orange peel and rock candy. The strain’s overall sweetness permeates the flavor, leaving consumers with a subtle tartness on the exhale. Enjoy Tangie Dream throughout the day to elevate mood and stimulate the imagination. This strain can be motivating in smaller doses, but it has a tendency to insulate the consumer in an whimsical euphoria with continuous use. ",0%,42%,42%,50%,0%,7%,14%,0%,0%,0%,0%,0%,28%,21%,0%,0%,0%,0%,21%,57%,0%,14%,28%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.008,0.007,0.001,0.002,0.001,0.0,0.07,0.062,0.004,0.005,0.053,0.402,0.0,0.169,1.413,,0.202,0.155,0.0,0.0,,0.95,0.0,20.7,0.0,0.0,0.06,0.0,0.0,0.0,0.42,0.05,0.0,
Chem Scout,,Indica,21%,Caryophyllene,"Chem Scout, bred by IC Collective, is an indica-dominant strain that took 1st place in the 2014 High Times Cannabis Cup in San Fransisco. This cross between Chemdawg 91 and Girl Scout Cookies delivers a blast of cerebral euphoria that tapers into full-body relaxation with time. ",89%,56%,56%,41%,35%,17%,10%,10%,0%,5%,51%,35%,35%,30%,0%,0%,0%,5%,0%,0%,0%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.034,0.048,0.0,0.097,0.0,0.0,0.297,0.0,0.099,0.086,0.987,0.1,0.0,2.294,0.91,,0.193,0.75,0.0,0.0,,5.8,0.0,67.54,0.04,0.0,0.22,0.0,0.0,0.01,3.87,0.28,0.0,
A-Dub,,Hybrid,23%,Myrcene,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",69%,67%,62%,44%,0%,30%,18%,0%,0%,4%,41%,37%,34%,32%,0%,0%,0%,4%,0%,30%,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.01,0.01,0.0,0.006,0.0,0.0,0.068,0.0,0.01,0.16,0.281,0.035,0.0,0.875,0.616,,0.07,0.5,0.0,0.0,,1.86,0.0,18.61,0.0,0.0,0.05,0.0,0.0,0.0,0.23,0.06,0.03,
Caramelo,,Sativa,17%,Myrcene,"The breeders at Delicious Seeds continue to live up to their name with this flavorful 70/30 sativa-dominant hybrid they call Caramelo. Caramelo is derived from the Lavender family, inheriting that signature floral aroma with accents of sweet and spicy fruit. Though made famous by its complex terpene profile, consumers also appreciate Caramelo for its lightweight uplifting effects that promote energy alongside potent symptom relief.",55%,72%,38%,0%,0%,27%,11%,5%,11%,0%,27%,27%,33%,0%,16%,0%,0%,0%,0%,0%,44%,0%,0%,0%,22%,0%,0%,0%,0%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.011,0.013,0.0,0.003,0.106,0.0,0.155,0.004,0.006,0.116,0.131,0.132,0.0,0.434,0.301,,0.107,0.457,0.0,0.0,,2.74,0.0,18.19,0.0,0.0,0.12,0.0,0.0,0.0,0.5,0.11,0.0,
Cadillac Purple,,Indica,18%,Myrcene,"Cadillac Purple is a heavy indica strain that is popular among users seeking true body relaxation and pain relief without the spacey cerebral effects common to more sativa-heavy hybrids. Depending on tolerance, this strain can be a bit of a “creeper,” but when its effects do hit, they tend to be calming, body-soothing, and may lead to some restful sleep. Buds are deep greens with plenty of purple, making for some very pretty flowers. The aroma, too, is pleasant – mild and like a sweet perfume.",80%,46%,40%,0%,52%,37%,15%,2%,6%,3%,47%,46%,22%,29%,39%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.004,0.006,0.0,0.0,0.0,0.0,0.068,0.077,0.0,0.025,0.069,0.3,0.0,0.27,0.656,,0.065,0.02,0.0,0.0,,0.42,0.0,19.42,0.0,0.0,0.04,0.0,0.0,0.02,0.23,0.08,0.0,
Shangri-La,,Hybrid,17%,Caryophyllene,"Bred by JinxProof Genetics, Shangri-La crosses parent strains Fudo Myo-o and 9 Pound Hammer to create a 60/40 sativa-dominant strain. Taking its name from the mythical valley utopia, the Shangri-La hybrid is sure to bring you to your own internal paradise. This strain takes you to a peaceful mindset where happiness and relaxation are no strangers. Patients might also choose this strain as an uplifting escape from nausea, stress, and pain. Skunky and sweet in flavor, Shangri-La boasts a garden of different aromas from ripe grape and berry to tropical mango and citrus. ",65%,55%,57%,71%,0%,10%,13%,0%,2%,2%,26%,28%,23%,28%,0%,0%,0%,5%,21%,0%,42%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.012,0.003,0.0,0.01,0.0,0.0,0.095,0.002,0.009,0.02,0.069,0.045,0.0,0.257,0.588,,0.092,0.563,0.0,0.0,,0.99,0.0,22.32,0.0,0.0,0.07,0.0,0.0,0.0,0.42,0.25,0.03,
Alpine OG,,Indica,17%,Myrcene,"Alpine Star, often labeled as Alpine OG, is an earthy, citrus mix of Tahoe OG and Sensi Star genetics. Zesty lemon flavors lead Alpine Star’s wave of relaxing indica effects. The pain relieving properties of Alpine Star radiate from the head and neck, calming anxieties and muscle tension as the effects descend to the lower extremities.",57%,42%,50%,64%,0%,21%,7%,0%,7%,7%,35%,28%,35%,42%,0%,0%,0%,7%,0%,28%,0%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.029,0.003,0.0,0.003,0.0,0.082,0.0,0.087,0.008,0.721,0.0,0.043,0.062,0.016,0.154,0.437,,0.109,0.274,0.011,0.0,,0.91,0.0,18.0,0.0,0.0,0.04,0.0,0.0,0.0,0.3,0.21,0.0,
Green Candy,,Sativa,17%,Myrcene,Green Candy is a hybrid marijuana strain that's a cross between Candy Kush and Green Crack. It provides a cerebral sensation and relaxing body effects.,45%,63%,50%,49%,0%,30%,11%,6%,3%,0%,40%,25%,26%,31%,0%,0%,0%,1%,0%,0%,49%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.089,0.22,0.003,0.07,0.078,0.058,0.0,0.195,0.511,,0.042,0.148,0.0,0.0,,1.21,0.0,16.8,0.0,0.0,0.05,0.0,0.0,0.0,1.31,0.14,0.02,
The White Angel,,Hybrid,27%,Limonene,"The White Angel (AKA White Angel OG) is an award-winning strain and longstanding veteran of the Los Angeles cannabis community. The breeders, also called White Angel, created this strain by crossing a triple backcrossed White Widow with the potent California native, SFV OG. This perfect 50/50 hybrid consistently tests at or above 30% total THC. The White Angel’s rich aroma is a seductive perfume of pine and sweet citrus. It has a well-developed bud structure and robust resin production, and offers consumers deep relaxation alongside pain and insomnia relieving attributes. ",50%,0%,33%,0%,33%,16%,33%,0%,0%,16%,33%,0%,33%,33%,33%,0%,0%,0%,33%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.014,0.02,0.0,0.005,0.023,0.0,0.141,0.0,0.004,0.077,0.073,0.049,0.0,0.262,0.37,,0.092,0.431,0.0,0.0,,1.16,0.0,29.86,0.0,0.0,0.07,0.0,0.0,0.0,1.07,0.11,0.0,
The Truth,,Hybrid,18%,Myrcene,"The Truth by True Canna Genetics is a rare indica-dominant strain that crosses Triangle Kush with a SFV OG and a backcrossed Chemdawg hybrid. Its heavy painkilling properties are accented by an earthy, spicy aroma characteristic of Kush varieties. The Truth is a colorful high-yielding strain that flowers in 63 days indoors or in early October for outdoor gardens.",66%,55%,49%,44%,0%,10%,6%,1%,0%,1%,26%,29%,20%,24%,0%,0%,29%,1%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.007,0.074,0.009,0.0,0.14,0.0,0.104,0.0,0.0,0.24,0.182,0.133,0.0,0.617,0.115,,0.088,0.049,0.0,0.0,,3.68,0.0,53.78,0.0,0.07,0.28,0.0,0.0,0.0,1.13,0.13,0.1,
Hawaiian Skunk,,Hybrid,17%,Myrcene,"Hawaiian Skunk is an outdoor plant that offers high THC content (evidenced by dense crystals) with few growing difficulties. A cross between Hawaiian Indica and Skunk #1, this light green, poppy bud suggests the uplifting, sativa-dominant buzz it induces. The strain is commonly praised for its smell that borders between fruity and musky thanks to its balanced genetics.",43%,60%,56%,46%,0%,36%,26%,14%,9%,0%,39%,0%,29%,26%,19%,0%,0%,4%,0%,29%,0%,0%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.188,0.0,0.0,0.063,0.101,0.0,0.152,0.409,,0.058,0.117,0.0,0.0,,1.96,0.0,17.92,0.0,0.0,0.02,0.0,0.0,0.0,1.65,0.16,0.04,
Lemon Kush Headband,,Hybrid,20%,Limonene,"Crossing Super Bud, Headband, and OG Original, Lemon Kush Headband from Humboldt Seed Organization produces dense light green buds that are surrounded in reddish purple leaves. Its zesty aroma has notes of citrus and the flavor is a bit sour with hints of ripe fruit. The high will have you feeling great throughout the day, making Lemon Kush Headband a great option for experienced consumers. ",83%,83%,66%,50%,0%,0%,16%,0%,0%,0%,66%,33%,66%,50%,0%,0%,0%,16%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.015,0.0,0.0,0.021,0.0,0.0,0.06,0.052,0.0,0.014,0.075,0.084,0.0,0.241,0.118,,0.112,0.592,0.0,0.0,,1.34,0.0,23.93,0.0,0.0,0.02,0.0,0.0,0.0,0.66,0.3,0.0,
OG Sour Diesel,,Hybrid,18%,Caryophyllene,"OG Sour Diesel by The Cali Connection is a riff on where Sour Diesel has been and where it is going. By combining Sour OG and Cali Connection’s East Coast Sour Diesel precursor, OG Sour Diesel adopts the historical ECSD lineage while offering a nod to the West Coast’s tradition of Kush-heavy crosses. The fuel aroma the buds emit is intense and astringent. The long-lasting cerebral effects mute stress without encumbering the body.",66%,66%,0%,33%,44%,11%,0%,0%,0%,0%,22%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,44%,0%,22%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.027,0.008,0.0,0.0,0.0,0.0,0.099,0.0,0.023,0.0,0.212,0.064,0.0,0.529,0.328,,0.092,0.551,0.0,0.0,,0.96,0.0,20.28,0.0,0.0,0.08,0.0,0.03,0.0,0.69,0.08,0.0,
White Girl,,Hybrid,28%,Myrcene,"White Girl is a potent hybrid cross of two well-known cannabis strains, Berry White and Girl Scout Cookies. Its effects are middle-of-the-road, offering immediate mental elevation and creeping physical relaxation. This strain’s overall potency can be too much to handle for unseasoned smokers, so mind your dosage. White Girl’s terpene profile is herbal and woody, leaving a mild savory-sweet taste on the palate. Enjoy this hybrid to improve mood and stimulate appetite.",0%,80%,80%,40%,0%,20%,20%,0%,0%,20%,40%,40%,0%,60%,0%,0%,0%,0%,40%,0%,0%,0%,0%,40%,40%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.059,0.124,0.0,0.0,0.455,1.07,,0.012,0.048,0.0,0.0,,1.07,0.0,19.51,0.0,0.0,0.06,0.0,0.0,0.0,0.9,0.15,0.0,
Black Haze,,Hybrid,15%,Limonene,"Black Haze is a sativa-dominant hybrid that blends Colombian Black, Colombian Gold, and Purple Haze. It is known for its deep purple buds that are so dark they appear almost black. Black Haze has an earthy flavor profile, highlighted by woody notes and complemented with sweet hints of berries and cherries. The effects of Black Haze are relaxing with an elevated mood perfect for unwinding and won’t stop you from staying active.",54%,48%,45%,41%,0%,32%,16%,6%,0%,6%,25%,29%,22%,32%,0%,0%,0%,3%,0%,29%,0%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.015,0.003,0.0,0.0,0.0,0.0,0.021,0.045,0.005,0.018,0.07,0.075,0.0,0.27,0.091,,0.098,0.621,0.0,0.0,,0.32,0.0,20.47,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.09,0.0,
Green Haze,,Sativa,17%,Myrcene,"Green Haze by A.C.E. Seeds is another version of their sativa Oldtimers Haze and takes after her Thai and South Indian ancestry. Like its Haze parentage, Green Haze is also upbeat and verging on psychedelic for some. This sativa plant is truly for someone who loves growing as it can take a full 16-20 weeks to flower. Green Haze grows tall and is a lookalike of Purple Haze except for, of course, the color. The flowers will have a woody smell mixed with fruit. Green Haze has a high potency and is good for tackling pain, though it may also inspire some serious snacking.",0%,54%,45%,50%,0%,29%,33%,0%,4%,12%,37%,33%,29%,29%,20%,0%,45%,12%,0%,0%,0%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.01,0.012,0.0,0.0,0.0,0.0,0.112,0.0,0.01,0.0,0.115,0.023,0.0,0.242,0.445,,0.04,0.191,0.0,0.0,,0.19,0.0,17.79,0.02,0.0,0.17,0.0,0.0,0.0,0.7,0.07,0.07,
Warlock,,Hybrid,15%,Myrcene,"Warlock is an indica-dominant strain bred by Magus Genetics through crossing Skunk and Afghani varieties. Its stimulating, focused buzz sharpens the mind against inattention and boredom, and may help those struggling with ADD/ADHD. With a sweet and sour aroma, Warlocks ushers in its mellow stress-relieving and engaged effects. Some Warlock varieties have been bred to contain higher levels of CBD to ward off pain, inflammation, and other ailments. Indoor Warlock plants finish flowering in 55 to 60 days, or at the end of October in outdoor gardens.",62%,53%,48%,43%,0%,27%,14%,8%,9%,0%,50%,45%,30%,37%,0%,0%,0%,6%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.01,0.0,0.016,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.145,0.603,0.169,0.0,0.5,2.686,,0.21,2.417,0.0,0.0,,56.09,0.0,0.0,1.03,0.55,0.0,19.65,0.24,0.0,0.0,2.28,1.95,
Dream Berry,,Indica,12%,Myrcene,"Dream Berry is a sweet, fruity cross between Blue Dream and Blackberry. Its calming indica qualities prevail over its sativa genetics. The breeders at Apothecary Genetics recommend a short 6 to 7 week flowering time for indoor gardens, or the end of September for outdoor cultivators. ",74%,37%,0%,37%,44%,25%,3%,11%,0%,0%,18%,22%,14%,0%,14%,44%,0%,3%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.003,0.012,0.138,0.029,0.003,0.074,0.0,0.061,0.024,0.032,0.137,0.221,0.304,0.002,0.615,0.376,,0.215,0.257,0.002,0.0,,1.97,0.0,67.76,0.0,0.0,0.2,0.0,0.0,0.0,1.62,0.12,0.0,
Jesus,,Hybrid,19%,Caryophyllene,"Jesus, not to be confused with Jesus OG, is a Seattle staple grown by Solstice. This hybrid is a cross between White Widow and Blue Dynamite, a combination that gives rise to pungent, resin-loaded buds that smell of sweet lemon and herbs. Its cerebrally-focused effects give way to happy moods and outbursts of giggles, with soothing full-body relaxation trailing close behind.",51%,59%,37%,43%,0%,13%,8%,8%,0%,8%,29%,29%,21%,27%,16%,0%,0%,0%,0%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.013,0.007,0.0,0.011,0.0,0.0,0.064,0.159,0.0,0.04,0.073,0.7,0.0,0.268,0.485,,0.194,0.171,0.0,0.0,,0.6,0.03,21.51,0.02,0.0,0.07,0.0,0.0,0.0,0.65,0.1,0.02,
Limon,,Sativa,26%,Myrcene,"Created by LivWell, Limon is a sativa-dominant strain that blends Sour Diesel, Strawberry Diesel, and NYC Diesel. With notes of diesel and skunk in flavor, these bright green frosty buds will leave you with an uplifting and long-lasting cerebral buzz.",44%,50%,77%,44%,0%,11%,16%,5%,11%,0%,22%,27%,33%,0%,0%,0%,0%,0%,0%,0%,44%,16%,0%,0%,0%,0%,0%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.015,0.0,0.045,0.058,0.0,0.126,1.283,,0.102,0.635,0.0,0.0,,0.44,0.01,28.76,0.01,0.0,0.09,0.0,0.0,0.0,2.18,0.14,0.02,
